,cleaned_text
0,kaka tidur yaa udah pagi gaboleh capek
1,makan nasi padang aja badannya
2,suka cukur jembut manggung
3,hai kak isyana ngefan banget kak isyana suka lagu kak isyana lagu didalam jiwa
4,manusia bidadari sih herann deh cantik
5,ayu kinantii isyan skrg berubah ya baju nya nakal
6,gemesnya isyan kayak tango berlapi lapi ciaaaa
7,jelek aja anaknya ayahnya cakep
8,anaknya kayak udah tua gitu ya mukanya kk tasya
9,muka anak nya ko tua banget yaa gk ngegemesin gk lucu nya
10,muka nya muka kolot wkwk muka bayi lucu gt
11,udah gila orang wkwk udah jomblo psikolog ga laku ya
12,lo sintingnya udah tingkat dewa
13,lutfi putu dgn salsa orang stress
14,anak tolol aktif ya bund
15,mati aja ga gedeg gua liat lu anjim
16,woy lutfi asu sok asik lo anj
17,apasih kontol berantem aja ayo bngst lutfiagiz
18,pelakor plu hamil nikah ya pantesan anaknya kyk gini modelannya
19,anaknya udh pinter maknya kelempengan berasa babi tingginya azka aj melebihi mamanya
20,anak yg cerda terbentuk dr pola asuh pola didik ortu yg cerda sih saranya sesimpl
21,iri motivasi
22,ancur hidup lu sumpah
23,serem banget muka lo mel kayak ayam potong merah banget
24,yaudah jd pengusaha kulin aja gausah arti makanannya emang bikin ngiler sih wkwkw
25,emang cocoknya pengusaha kulin udah fix semoha lancat terusssss
26,sejelek imag owner ya arti up arti hallo langsung orang tau imag lu jelek gentong
27,sih gak hidupnya
28,unfol bilang najissss
29,muka lu sensual norak dah
30,udah gk jaman ngebulli orang hey netizen mend ngaca kekurangan
31,pa penempatannya sebenernya imut banget loh mel
32,cakep kaga jelek iya hahah
33,jari jari kaki kayak jarinya tukang panggul
34,kakinya kek hamil tua ya bun kaki gajah ayuugsia
35,suka heran yg ngehina fisik bener ya pendosa
36,diedit biar langs mah klo live bomber badannya
37,kakinya gedong sayyy kek kaki jantan upp suka berbaur ama warwerwor mahluk astral yg kakinya gedong
38,bagusan foto pakai masker drpd gak pakai masker
39,rosameldianti kakak foto memeknya keliatan tebal memeknya kakak bengkak yah
40,bra nya kedodoran kak make ukuran gede yaa
41,cantik seneng usahanya membuahkan hasil semangat ya mel semoga pribadi
42,mba gk sih gk merem melek gitu matanya kaya orang cacingan
43,semoga lancar usahanya mel
44,cantik banget kalo meldi muka natur kek gini
45,lu diem aja cantik mel kalo ga gaya seriu
46,kaku kek kanebo kere hahaha
47,glow say natur kayak gini bagu tambahin prestasi nya ya say
48,meldi emaknya buka klinik totok aura kayaknya anaknya gak ditotok ya auranya gak keliatan yg butek
49,muka lo pasaran mel pasar sapi noh
50,maap gua nyamain lu dugong emang
51,iya lo monyet mel
52,bagusan pantat panci a atuh anjir
53,ya emang ga muka muka badak muka beton ga malu
54,mbak meldi cantik ya rahasianya
55,lengannya gempal banget sih haha
56,fix komen nyela
57,udah ka gausah digubri gausah dipikirin bersyukur aja nikmat tuhan udah dikasih kaka gausah ngatain orang ka tetep bersyukur nikmatnya
58,jari jari nya gede gede banget pa ngiklan makan ikan danau hambar jarinya kayak jempol hawak bener
59,disamain muka rosameldianti orang oi mintanya disamain babi
60,ga dibawah meldi setara kekurangan kelebihan
61,ka mel gausah merendahkan orang bersyukur aja diata langit langit
62,mukanya gak dibantu kamera dekil kumel
63,wanita cantik suka ah
64,meldi udah kontrak endors skincar ya mukanya jelek si
65,gila netizen sempurna ngehina orang
66,dah ngembang habi cowo meldi enak ya otak atik
67,muka kayak elo pasaran murah
68,muka buluk kepedean muka udah tua
69,muka lu kaya tai wkwkwk
70,sakit jiwa upil gajah kasihan
71,jelek buntut kuali hahaha
72,meldi kurusan ya cantik make up
73,elu semoga semakinlebih akhlak etikanya
74,mbak mell sehat suks ya
75,aamiin doa meldi
76,selamat mbak semoga pribadi amin
77,meldi cantik loh tinggal dibenerin akhlak adabnya sip
78,pengambilan fotonya bagu mantap keren tinggal pengambilan arwah nya aja
79,nggak cantik cantik nya hahaha
80,kasian editornya sih nanggung dosa banget kayaknya ngeditnya offsid gini
81,dewi persik ya
82,julid meldi gak nyusahin
83,foto w masukin museum aja ya ga nya
84,nggak ngumpul bareng mami isa gembrot disana
85,lagu lu ga laku ya mel
86,lututnya hitam gosok mane biar cling cantik
87,suka heran warga sukanya ngehujat orang mulu pahala kagak dosa mah iya
88,cantik aja rosa meldianti
89,ular dugong
90,suka ya harmoni
91,cantik banget pakai baju kayak gitu
92,jujur ya kalo anteng ga cantik mel
93,cowoknya ga cakep cakepnya
94,foto tiru kalo video wariorr mukanya kek donat gak bentuknya
95,sekian foto dipost cantik
96,arti abal abal muka putih tangan hitam ager atm nya udah isi
97,muka kayak penuh tekanan banget
98,rosameldianti cowokmu wajah nya culun cupu kayak om
99,masyaallah cantik sopan anggun
100,kang ojek kali belang tangannya
101,seneng liat pasangan cewenya hujat indonesia tetep setia nemenin
102,memutuskan tumbal apart
103,cantik mel semangat dietnyaa
104,tangan paha haha
105,mel keliatan cakep
106,mukanya kayak ngeden pa boker
107,aduuh halu hhahaha lebay editan nyaa lemak kemana lemak hahhaaa mimpi ketinggian
108,salfok kaki cantik banget asli
109,dy buset cantik diedit aja mba coba dah aslinya dah kayak buntelan kentut
110,hitam putih kek kopi luwak
111,palsu badan diedit tu aslinya dimana lemak
112,udah kontrak skincar ttp aja buluk mel
113,heran netizen klo gk suka diliat aja
114,suks yah ka rosameldianti semangat
115,jujur suka meldi suka ngehujat orang
116,sumpah aslinya muka lo lebar kayak baskom loh mel rosameldianti
117,berkarya tero meldi walo ga yg nuntun
118,astaghfirullah seram ya bun ular jelmaan makhluk halu ya bun
119,heran cowokpun ngebulli sabar meldi
120,astaga ratu edit muka sumpah seren kayak film setan gitu
121,matanya kayak katarak anjir ahahah
122,caption aja copa cantumin credit dasar ibli
123,unfol aja dosa ngebulli
124,meldi perhatikan orang china deh cantik
125,editan softlensnya mbaknya kayak ratu titisan ular wkwkwk
126,kasihan ular dibawa bawa gak ular pantasnya bunglon buaya
127,maju tru ya sayang abaikan orang yg comment menyakitkan
128,kasihan ya rosameldianti hidup cuman bahan hujatan masyarakat mubadzir banget deh hidup lo napa gak bunuh aja
129,semangat mel bahasa ase mah berani entarnya
130,beda d foto yaa lebar banget mukanya maaf foto editan ya
131,meldi kadang mulut ku rem kehaluanmu bangga berusaha mu yuhuuu
132,lupa edit ya tu muka melar
133,semangatt kesalahan belajar bahasa ase pembelajaran utamanya kesalahannya ga terulang
134,kereennnn bulli an netizen menjadikanmu belajar
135,hiiihhh jiik lihat nih orang auranya buruk bgt gak mani manisnya
136,semangat belajar ya uga gak bahasa inggri
137,niat keberanian
138,salut mel semangat belajar yg ngetawain berani
139,gpp mel semangat belajar trusssss gampang nyerah pokoknya rosameldianti
140,ngaku belagak pintar
141,kalo ngarep ikutan kont miss earth le inggri biar lidahnya gak keseleo
142,postingan ya bund netizen menghujat
143,happi birthday mel sehat suks yah aamiin
144,happi birthday kak meldi imut n ngegemesin suks
145,ya ampun ketiak lemaknya editan parah wkwk
146,ketiaknya habi ampla mel alu banget
147,udah diedit gitu ketiak lu hitam
148,selamat ulang mel udah yah tingkah
149,mukanya kune banget kaya kunyit
150,selamat ulang meldi suks sehat ya
151,fotonya cantik ihhh biar gak kena hujat ihh mah kasihan
152,hbd meldi semoga suks umur rejekinya lancarkan amin
153,perasaan kemarin lengannya kekar banget kek petinju udah gitu ketiaknya hitam difoto lengannya ketiaknya putih kek dibedakin
154,selamat ulang kak rosameldianti banyaknya sadar panso yah amin
155,hbd cantik semoga kedepannya suks
156,hbd mbak mel cantik panjangkan umurnya sehat
157,berdiri kaki
158,biar edit kaya aja ketiak hitam nya ga bohongin
159,sumpah apapun lengan nya gede banget
160,selamat ulang umur ketemu dajjal
161,ketiak hitam buluk lu edit nutupin daki diketek lu aka hitam ketiak lu dasar dugong rosameldianti
